time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-13T05:28:27.060Z,35.6813333,-117.5506667,7.22,2.73,ml,45,51,0.06104,0.14,ci,ci38241730,2019-11-14T05:28:14.744Z,"13km ENE of Ridgecrest, CA",earthquake,0.14,0.34,0.18,180,reviewed,ci,ci
2019-11-13T05:29:04.768Z,36.67,70.967,225.6,4.3,mb,,99,1.021,0.52,us,us60006az0,2019-11-19T08:05:03.040Z,"24km SSE of Jarm, Afghanistan",earthquake,8.1,8.4,0.161,11,reviewed,us,us
2019-11-13T07:21:34.005Z,-21.9233,-179.401,585.2,4.6,mb,,43,4.798,0.99,us,us60006azn,2019-11-13T07:37:18.040Z,"158km SSW of Ndoi Island, Fiji",earthquake,10.9,8.9,0.044,152,reviewed,us,us
2019-11-13T08:44:05.680Z,18.1001,-67.2261,25,2.51,md,3,290,0.1495,0.06,pr,pr2019317004,2019-11-13T11:41:05.612Z,"4km NW of Puerto Real, Puerto Rico",earthquake,1.51,0.85,0.24,3,reviewed,pr,pr
2019-11-13T11:13:37.030Z,40.3646667,-126.6641667,4.65,2.96,ml,19,321,1.776,0.23,nc,nc73303046,2019-11-14T05:44:02.452Z,"202km W of Petrolia, CA",earthquake,13.92,10.93,0.287,45,reviewed,nc,nc
2019-11-13T12:15:42.009Z,63.0225,-150.4737,2.6,3.3,ml,,,,0.87,ak,ak019ekgliry,2019-11-13T18:52:54.397Z,"85km NNW of Talkeetna, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-13T13:10:54.498Z,26.2334,93.3574,46.18,4.7,mb,,68,1.506,0.65,us,us60006b1v,2019-11-13T17:40:20.481Z,"44km N of Diphu, India",earthquake,7.1,7.7,0.093,35,reviewed,us,us
2019-11-13T13:14:21.452Z,-12.3863,166.951,212.64,4.6,mb,,142,3.052,0.66,us,us60006b1z,2019-11-13T13:38:51.040Z,"177km NNW of Sola, Vanuatu",earthquake,14,8.5,0.102,29,reviewed,us,us
2019-11-13T13:44:05.327Z,7.2996,-35.4274,10,5.5,mww,,92,13.049,0.73,us,us60006b29,2019-11-14T21:53:19.040Z,"Central Mid-Atlantic Ridge",earthquake,12.1,1.9,0.089,12,reviewed,us,us
2019-11-13T13:58:18.460Z,19.1813,-64.6885,29,2.8,md,5,344,1.5576,0.13,pr,pr2019317005,2019-11-14T09:13:52.040Z,"84km N of Road Town, British Virgin Islands",earthquake,2.8,12.94,0.4,4,reviewed,pr,pr
2019-11-13T14:17:17.737Z,-32.5172,80.0617,10,5.5,mb,,51,5.648,0.92,us,us60006b2j,2019-11-14T14:19:56.442Z,"Broken Ridge",earthquake,10.4,1.8,0.055,114,reviewed,us,us
2019-11-13T14:28:05.424Z,16.3067,121.8083,82.49,4.9,mb,,138,6.513,0.63,us,us60006b2l,2019-11-18T13:38:08.553Z,"11km E of Dumabato, Philippines",earthquake,12.9,8.2,0.103,30,reviewed,us,us
2019-11-13T14:33:40.025Z,13.0236,51.1167,10,4.5,mb,,107,8.217,0.43,us,us60006b2w,2019-11-14T09:44:15.040Z,"127km N of Bereeda, Somalia",earthquake,11.4,1.9,0.115,22,reviewed,us,us
2019-11-13T14:56:01.736Z,61.3734,-150.1691,36.4,3.1,ml,,,,0.66,ak,ak019eki137l,2019-11-15T11:07:35.056Z,"20km SW of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-11-13T15:23:13.126Z,68.8129,-146.2372,10,2.5,ml,,52,0.514,0.91,us,us60006b3h,2019-11-13T22:10:14.040Z,"81km NNW of Arctic Village, Alaska",earthquake,2.9,2,0.038,92,reviewed,us,us
2019-11-13T16:28:21.763Z,27.7449,53.0345,10,4.3,mb,,83,3.982,0.59,us,us60006b3t,2019-11-13T22:16:53.040Z,"97km SSW of Jahrom, Iran",earthquake,8.3,1.9,0.113,22,reviewed,us,us
2019-11-13T16:28:54.482Z,13.6722,-90.9634,60.87,5.5,mww,,108,1.105,1.01,us,us60006b3s,2019-11-18T21:36:38.240Z,"31km SSW of Puerto San Jose, Guatemala",earthquake,7,5.2,0.073,18,reviewed,us,us
2019-11-13T16:53:19.880Z,37.6041667,-118.8993333,2.76,2.87,ml,34,90,0.01494,0.05,nc,nc73303106,2019-11-20T03:33:03.722Z,"8km ESE of Mammoth Lakes, CA",earthquake,0.18,0.29,0.239,24,reviewed,nc,nc
2019-11-13T17:01:04.691Z,59.9514,-153.17,110.9,3.8,ml,,,,0.74,ak,ak019ekjhltd,2019-11-13T20:16:17.040Z,"64km SSW of Redoubt Volcano, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-13T17:57:48.027Z,27.8276,53.0962,10,4.2,mb,,73,4.001,1.33,us,us60006b67,2019-11-13T19:20:06.040Z,"86km SSW of Jahrom, Iran",earthquake,7.6,1.9,0.095,31,reviewed,us,us
2019-11-13T17:59:12.730Z,19.1586,-67.2575,8,2.91,md,13,217,0.7064,0.49,pr,pr2019317006,2019-11-13T23:13:26.040Z,"80km NNW of Isabela, Puerto Rico",earthquake,1.85,31.61,0.28,13,reviewed,pr,pr
2019-11-13T18:05:22.100Z,40.367,-125.0301667,7.68,3.09,ml,41,252,0.5315,0.19,nc,nc73303141,2019-11-14T02:27:04.068Z,"63km W of Petrolia, CA",earthquake,0.82,1.82,0.252,56,reviewed,nc,nc
2019-11-13T18:25:00.320Z,40.3138333,-121.3631667,3.61,2.51,md,19,81,0.09452,0.09,nc,nc73303151,2019-11-14T02:07:52.999Z,"11km W of Chester, CA",earthquake,0.29,1.24,0.155,19,reviewed,nc,nc
2019-11-13T19:26:53.240Z,35.6051667,-117.4075,9.09,3.92,mw,47,28,0.04831,0.16,ci,ci38242914,2019-11-15T04:53:35.564Z,"18km S of Trona, CA",earthquake,0.15,0.32,,4,reviewed,ci,ci
2019-11-13T19:28:18.200Z,35.6065,-117.4083333,9.3,2.74,ml,36,80,0.04822,0.15,ci,ci38242930,2019-11-13T20:11:37.423Z,"18km S of Trona, CA",earthquake,0.2,0.38,0.11,7,reviewed,ci,ci
2019-11-13T20:50:39.848Z,60.6452,-150.4673,24.2,3,ml,,,,0.64,ak,ak019eklkhhx,2019-11-14T20:52:28.645Z,"20km NE of Sterling, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-11-13T21:12:57.414Z,-19.9277,-70.9675,16.13,4.2,mwr,,165,0.973,0.66,us,us60006ba0,2019-11-13T22:08:15.040Z,"92km WNW of Iquique, Chile",earthquake,5.9,6,0.043,51,reviewed,us,us
2019-11-13T22:08:23.228Z,12.6079,-87.9714,63.91,4.3,mb,,163,0.931,0.63,us,us60006bb1,2019-11-13T22:50:23.040Z,"58km WSW of Jiquilillo, Nicaragua",earthquake,7.2,15.6,0.217,6,reviewed,us,us
2019-11-13T22:25:55.150Z,18.8026,-67.3135,4,2.83,md,3,324,0.3914,0.32,pr,pr2019317008,2019-11-13T23:23:35.892Z,"41km NNW of San Antonio, Puerto Rico",earthquake,3.51,3.99,0.08,2,reviewed,pr,pr
2019-11-13T23:14:38.425Z,26.6196,140.4817,421.89,4.5,mb,,83,1.593,0.72,us,us60006bbs,2019-11-13T23:31:54.040Z,"179km WSW of Chichi-shima, Japan",earthquake,9.2,8.8,0.038,204,reviewed,us,us
2019-11-14T01:20:04.213Z,-7.5484,127.9798,108.06,4.4,mb,,152,6.262,0.79,us,us60006bcq,2019-11-14T01:38:23.040Z,"287km ENE of Dili, East Timor",earthquake,11.9,11,0.203,7,reviewed,us,us
2019-11-14T01:34:52.600Z,51.6279,178.2894,48.6,2.9,ml,,,,0.5,ak,ak019elxp79h,2019-11-14T02:01:52.826Z,"38km SSW of Little Sitkin Island, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2019-11-14T02:10:15.340Z,18.8236,-67.3768,8,2.68,md,7,315,0.4443,0.26,pr,pr2019318000,2019-11-14T04:44:47.559Z,"46km NW of San Antonio, Puerto Rico",earthquake,1.56,1.07,0.14,5,reviewed,pr,pr
2019-11-14T02:51:51.249Z,19.7034,121.2349,35,4.5,mb,,104,3.102,1.06,us,us60006bd2,2019-11-14T04:05:43.040Z,"96km SW of Sabtang, Philippines",earthquake,11.7,2,0.121,20,reviewed,us,us
2019-11-14T03:28:27.080Z,48.211,154.7798,45.54,4.6,mb,,136,5.242,0.47,us,us60006bd6,2019-11-14T04:15:35.040Z,"291km SSW of Severo-Kuril'sk, Russia",earthquake,11,7.7,0.057,92,reviewed,us,us
2019-11-14T04:15:34.520Z,41.5321667,-112.1896667,10.19,2.51,ml,30,70,0.0736,0.19,uu,uu60349952,2019-11-16T05:18:45.431Z,"14km W of Brigham City, Utah",earthquake,0.3,0.87,0.09,11,reviewed,uu,uu
2019-11-14T04:22:15.280Z,19.235,-67.2518,40,3.09,md,11,294,0.7803,0.43,pr,pr2019318001,2019-11-14T04:47:56.535Z,"83km N of San Antonio, Puerto Rico",earthquake,3.01,12.14,0.46,10,reviewed,pr,pr
2019-11-14T05:26:25.275Z,9.9051,57.6299,10,5.5,mww,,68,14.617,0.87,us,us60006bdi,2019-11-15T05:28:15.990Z,"Carlsberg Ridge",earthquake,7.8,1.9,0.08,15,reviewed,us,us
2019-11-14T05:40:02.795Z,-18.7832,-69.5084,132.48,4.3,mb,,83,0.445,0.4,us,us60006bdk,2019-11-14T06:40:26.040Z,"64km S of Putre, Chile",earthquake,5.7,7.7,0.189,8,reviewed,us,us
2019-11-14T06:10:06.060Z,19.036,-67.4328,34,2.88,md,4,321,0.9275,0.11,pr,pr.2019318004,2019-11-14T06:29:24.216Z,"69km NNW of San Antonio, Puerto Rico",earthquake,1.65,9.92,0.25,4,reviewed,pr,pr
2019-11-14T06:50:07.462Z,-17.9734,-177.8521,468.03,4.4,mb,,77,3.906,1.02,us,us60006be1,2019-11-14T07:50:17.288Z,"Fiji region",earthquake,14.3,8.9,0.12,20,reviewed,us,us
2019-11-14T07:52:54.100Z,19.0426,-67.2571,57,2.59,md,5,318,0.5933,0.36,pr,pr2019318005,2019-11-14T11:47:01.683Z,"63km NNW of San Antonio, Puerto Rico",earthquake,3.35,6.3,0.35,3,reviewed,pr,pr
2019-11-14T08:04:03.954Z,-1.8947,100.2547,61.74,5,mb,,187,2.341,0.85,us,us60006bes,2019-11-14T08:22:51.040Z,"69km SSW of Painan, Indonesia",earthquake,7.8,7.1,0.099,33,reviewed,us,us
2019-11-14T08:33:56.643Z,16.8236,-100.5891,19.51,4.1,mb,,160,2.068,0.99,us,us60006bf1,2019-11-14T21:28:49.142Z,"36km SSW of San Jeronimo de Juarez, Mexico",earthquake,5.9,7.4,0.184,9,reviewed,us,us
2019-11-14T09:23:33.027Z,36.4232,71.5238,87.86,5.2,mb,,59,1.11,0.96,us,us60006bff,2019-11-14T16:26:42.748Z,"28km S of Ashkasham, Afghanistan",earthquake,7.3,6.4,0.057,102,reviewed,us,us
2019-11-14T10:09:52.823Z,63.0671,-150.8519,127,2.5,ml,,,,0.5,ak,ak019em2wqj4,2019-11-14T10:20:19.147Z,"91km NNW of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-11-14T10:10:12.811Z,-8.2862,114.9066,10,4.6,mb,,74,0.768,0.82,us,us60006bg3,2019-11-15T06:39:32.620Z,"2km NNW of Sepang, Indonesia",earthquake,7.6,1.9,0.105,27,reviewed,us,us
2019-11-14T10:21:39.652Z,-8.139,114.8761,10,4.9,mww,,36,0.788,1.48,us,us60006bg4,2019-11-15T23:14:33.119Z,"7km NW of Purwa, Indonesia",earthquake,5.3,1.4,0.08,15,reviewed,us,us
2019-11-14T13:23:20.750Z,-21.134,-179.2853,599.01,4.5,mb,,102,4.204,0.76,us,us60006bhr,2019-11-14T13:38:50.040Z,"81km SW of Ndoi Island, Fiji",earthquake,11.8,9.5,0.039,187,reviewed,us,us
2019-11-14T14:40:26.295Z,-1.2481,120.9435,30.69,4.5,mb,,74,1.839,0.58,us,us60006bja,2019-11-14T15:58:38.040Z,"26km NE of Poso, Indonesia",earthquake,6.5,2.5,0.121,20,reviewed,us,us
2019-11-14T15:10:20.232Z,-8.1545,114.902,10,4.6,mb,,55,0.805,1,us,us60006bjf,2019-11-15T17:37:43.040Z,"4km NNW of Umbanyar, Indonesia",earthquake,4.9,1.7,0.087,39,reviewed,us,us
2019-11-14T16:17:40.457Z,1.6294,126.4144,33,7.1,mww,,11,1.277,1.05,us,us60006bjl,2019-11-19T19:11:23.695Z,"138km E of Bitung, Indonesia",earthquake,6.6,1.8,0.036,75,reviewed,us,us
2019-11-14T16:38:52.290Z,1.5893,126.5529,29.09,4.8,mb,,110,1.149,1.16,us,us60006bkj,2019-11-15T18:09:39.040Z,"127km NW of Kota Ternate, Indonesia",earthquake,7.5,6.9,0.098,35,reviewed,us,us
2019-11-14T17:11:35.412Z,1.6071,126.3487,25.04,5,mb,,48,1.313,0.74,us,us60006bl0,2019-11-18T19:31:24.040Z,"131km E of Bitung, Indonesia",earthquake,6.9,5.5,0.056,100,reviewed,us,us
2019-11-14T17:40:37.498Z,1.7188,126.5194,21.46,4.6,mb,,104,1.265,0.65,us,us60006blk,2019-11-18T19:27:06.040Z,"139km NW of Kota Ternate, Indonesia",earthquake,8.1,5,0.103,31,reviewed,us,us
2019-11-14T17:44:39.605Z,1.71,126.5468,23.19,4.6,mb,,107,1.241,0.83,us,us60006blq,2019-11-18T19:25:45.040Z,"137km NW of Kota Ternate, Indonesia",earthquake,7.4,5.9,0.087,44,reviewed,us,us
2019-11-14T17:55:15.868Z,1.6862,126.5111,4.99,5.1,mb,,48,1.247,0.8,us,us60006blv,2019-11-18T19:18:59.040Z,"137km NW of Kota Ternate, Indonesia",earthquake,7.9,4.1,0.092,38,reviewed,us,us
2019-11-14T18:30:17.833Z,7.1027,94.81,128.77,5,mb,,102,2.825,1.06,us,us60006bmd,2019-11-18T19:07:56.667Z,"145km NNW of Sabang, Indonesia",earthquake,10.4,7.8,0.087,42,reviewed,us,us
2019-11-14T18:45:38.562Z,1.4344,126.3592,23.85,5.8,mb,,29,1.203,0.81,us,us60006bmg,2019-11-18T19:03:28.007Z,"130km E of Bitung, Indonesia",earthquake,4.9,4.2,0.034,319,reviewed,us,us
2019-11-14T18:59:19.995Z,62.7953,-151.0021,101.4,2.5,ml,,,,0.37,ak,ak019em7yur1,2019-11-14T19:11:14.923Z,"69km NW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-11-14T19:02:42.410Z,17.8923,-66.1208,6,2.6,md,13,232,0.2188,0.22,pr,pr2019318009,2019-11-18T18:53:23.040Z,"11km S of Jobos, Puerto Rico",earthquake,1.01,2.43,0.35,10,reviewed,pr,pr
2019-11-14T19:46:24.494Z,-43.1643,-74.3507,18.06,4.3,mwr,,204,0.504,1.14,us,us60006bnj,2019-11-18T18:50:46.040Z,"59km W of Puerto Quellon, Chile",earthquake,5.8,6,,,reviewed,us,guc
2019-11-14T20:07:04.328Z,1.671,126.5207,27.23,4.6,mb,,101,1.23,1.19,us,us60006bnt,2019-11-18T18:49:26.040Z,"136km NW of Kota Ternate, Indonesia",earthquake,7.8,4.6,0.111,24,reviewed,us,us
2019-11-14T20:10:48.239Z,1.7105,126.3895,26.91,5.1,mb,,103,1.35,0.58,us,us60006bns,2019-11-18T18:48:16.040Z,"137km ENE of Bitung, Indonesia",earthquake,6.9,4.5,0.066,76,reviewed,us,us
2019-11-14T20:19:42.920Z,1.6807,126.6185,6.91,5.4,mww,,53,1.172,1.21,us,us60006bp3,2019-11-18T18:47:45.080Z,"129km NW of Kota Ternate, Indonesia",earthquake,6.5,3.1,0.078,16,reviewed,us,us
2019-11-14T20:35:31.500Z,35.138,-95.36966667,5.92,2.76,ml,63,130,0.1034796938,0.18,ok,ok2019witf,2019-11-18T18:41:17.040Z,"3km WNW of Quinton, Oklahoma",earthquake,,0.4,0.19,8,reviewed,ok,ok
2019-11-14T20:39:04.755Z,1.6741,126.3826,4.61,5.3,mww,,31,1.33,1.01,us,us60006bpd,2019-11-18T18:26:36.040Z,"135km E of Bitung, Indonesia",earthquake,6.4,3.5,0.08,15,reviewed,us,us
2019-11-14T20:52:25.879Z,-8.5526,-74.5409,113.09,4.9,mb,,77,4.096,0.63,us,us60006bpk,2019-11-18T18:22:04.040Z,"19km S of Pucallpa, Peru",earthquake,7.5,8,0.037,234,reviewed,us,us
2019-11-14T20:54:02.102Z,1.6628,126.427,35,5.3,mb,,40,1.29,1.14,us,us60006bpm,2019-11-18T18:19:21.040Z,"140km E of Bitung, Indonesia",earthquake,6.3,1.9,0.055,111,reviewed,us,us
2019-11-14T21:07:29.022Z,1.5268,126.4353,35,5.2,mww,,33,1.195,0.62,us,us60006bps,2019-11-16T22:31:56.040Z,"132km NW of Kota Ternate, Indonesia",earthquake,6.5,1.9,0.08,15,reviewed,us,us
2019-11-14T21:12:54.750Z,1.5673,126.4136,23,6,mww,,18,1.237,1.29,us,us60006bpw,2019-11-18T06:18:51.983Z,"136km NW of Kota Ternate, Indonesia",earthquake,2.2,1.7,0.061,26,reviewed,us,us
2019-11-14T21:30:51.337Z,-17.6467,-178.7811,543.32,4.6,mb,,72,3.019,1,us,us60006bq2,2019-11-16T22:41:10.040Z,"238km SE of Lambasa, Fiji",earthquake,10.5,6.9,0.057,91,reviewed,us,us
2019-11-14T21:33:44.238Z,1.6709,126.4761,17.89,5,mb,,94,1.261,1.11,us,us60006bq3,2019-11-16T22:51:26.040Z,"139km NW of Kota Ternate, Indonesia",earthquake,7.6,4.6,0.101,32,reviewed,us,us
2019-11-14T21:37:27.493Z,1.4142,126.4089,27.68,5.4,mww,,48,1.15,0.76,us,us60006bq8,2019-11-17T00:16:48.851Z,"127km WNW of Kota Ternate, Indonesia",earthquake,6.8,4,0.071,19,reviewed,us,us
2019-11-14T21:56:06.427Z,1.6183,126.4267,35,4.4,mb,,101,1.261,1.05,us,us60006bqm,2019-11-17T00:01:40.040Z,"139km NW of Kota Ternate, Indonesia",earthquake,5.6,2,0.13,17,reviewed,us,us
2019-11-14T22:00:32.562Z,1.4849,126.4537,17.91,5.1,mb,,77,1.155,0.95,us,us60006bqp,2019-11-16T23:58:03.040Z,"127km NW of Kota Ternate, Indonesia",earthquake,4.9,3.9,0.06,91,reviewed,us,us
2019-11-14T22:15:09.148Z,1.6227,126.466,20.16,5.4,mb,,29,1.235,0.8,us,us60006bqu,2019-11-16T23:46:10.764Z,"136km NW of Kota Ternate, Indonesia",earthquake,5.9,3.2,0.04,212,reviewed,us,us
2019-11-14T22:25:51.015Z,1.5556,126.4383,35.45,5.1,mb,,94,1.211,0.89,us,us60006br2,2019-11-16T23:32:22.040Z,"134km NW of Kota Ternate, Indonesia",earthquake,3,5.6,0.063,81,reviewed,us,us
2019-11-14T22:28:20.190Z,1.6611,126.4392,24.84,5,mb,,59,1.28,0.72,us,us60006br4,2019-11-16T23:20:32.040Z,"141km NW of Kota Ternate, Indonesia",earthquake,4.5,5.1,0.077,54,reviewed,us,us
2019-11-14T22:34:21.532Z,1.7092,126.3989,16.92,5.3,mww,,29,1.342,0.96,us,us60006br6,2019-11-16T23:14:35.040Z,"138km ENE of Bitung, Indonesia",earthquake,6,3.4,0.08,15,reviewed,us,us
2019-11-14T22:42:23.207Z,1.6006,126.3886,25.18,5.1,mww,,29,1.278,0.78,us,us60006brf,2019-11-16T23:08:59.040Z,"135km E of Bitung, Indonesia",earthquake,6.3,3.7,0.08,15,reviewed,us,us
2019-11-14T22:47:20.621Z,68.12,-162.1875,0,2.5,ml,,,,0.5,ak,ak019emaa0oz,2019-11-14T23:29:04.040Z,"69km NNE of Noatak, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-11-14T23:17:20.714Z,1.6013,126.3503,27.62,5.5,mww,,29,1.308,0.74,us,us60006bse,2019-11-18T06:22:08.189Z,"131km E of Bitung, Indonesia",earthquake,6.6,3.5,0.078,16,reviewed,us,us
2019-11-14T23:53:27.970Z,19.368,-67.7943,37,2.58,md,7,333,1.0327,0.18,pr,pr2019318012,2019-11-16T05:33:28.040Z,"103km NW of San Antonio, Puerto Rico",earthquake,2.02,13.75,0.38,7,reviewed,pr,pr
2019-11-14T23:59:43.998Z,1.6803,126.4248,35,4.8,mb,,89,1.304,0.84,us,us60006bsz,2019-11-15T01:58:38.040Z,"140km E of Bitung, Indonesia",earthquake,6.7,1.8,0.072,60,reviewed,us,us
2019-11-15T00:39:08.351Z,2.2416,126.6494,35,4.8,mb,,90,1.626,1.21,us,us60006bt9,2019-11-15T02:02:28.040Z,"161km WNW of Tobelo, Indonesia",earthquake,4.1,2,0.088,40,reviewed,us,us
2019-11-15T01:17:38.841Z,1.6033,126.3558,43.62,5.9,mww,,37,1.305,1.28,us,us60006bu3,2019-11-16T01:19:52.321Z,"131km E of Bitung, Indonesia",earthquake,7.4,5.5,0.062,25,reviewed,us,us
2019-11-15T01:36:28.187Z,6.8737,126.7211,178.8,4.5,mb,,135,1.15,0.62,us,us60006bue,2019-11-16T01:54:46.236Z,"35km ESE of Tarragona, Philippines",earthquake,12.2,5.5,0.127,18,reviewed,us,us
2019-11-15T01:57:26.228Z,13.2487,119.9417,40.25,4.8,mb,,117,8.145,1.16,us,us60006bui,2019-11-15T02:15:50.040Z,"57km WSW of Harrison, Philippines",earthquake,10.8,7.3,0.113,24,reviewed,us,us
2019-11-15T02:06:29.882Z,1.6205,126.412,35,4.5,mb,,105,1.273,1.23,us,us60006buk,2019-11-15T02:32:33.040Z,"138km E of Bitung, Indonesia",earthquake,7.2,2,0.124,19,reviewed,us,us
2019-11-15T02:33:36.820Z,18.8353,-67.1796,11,2.64,md,14,263,0.3741,0.17,pr,pr2019319000,2019-11-15T04:49:07.991Z,"38km NNW of San Antonio, Puerto Rico",earthquake,0.68,0.58,0.28,9,reviewed,pr,pr
2019-11-15T03:13:00.245Z,1.6665,126.5444,35,5,mb,,101,1.21,1.1,us,us60006bus,2019-11-15T03:29:17.040Z,"133km NW of Kota Ternate, Indonesia",earthquake,5.8,2,0.079,51,reviewed,us,us
2019-11-15T03:32:20.340Z,19.0981,-67.1253,5,2.79,md,4,317,0.6308,0.23,pr,pr2019319001,2019-11-15T08:16:39.666Z,"66km N of Isabela, Puerto Rico",earthquake,3.25,2.95,0.19,4,reviewed,pr,pr
2019-11-15T03:58:51.698Z,1.6742,126.4737,35,4.6,mb,,108,1.265,1.18,us,us60006bv1,2019-11-15T04:17:48.040Z,"139km NW of Kota Ternate, Indonesia",earthquake,6.3,2,0.12,21,reviewed,us,us
2019-11-15T04:14:48.129Z,48.2838,-71.0145,18.52,3,mb_lg,,191,0.355,0.31,us,us60006bv5,2019-11-15T14:46:35.592Z,"15km SSE of Saguenay, Canada",earthquake,3,7.7,0.117,19,reviewed,us,us
2019-11-15T04:15:28.650Z,18.1231,-68.6456,122,2.68,md,4,220,1.5404,0.34,pr,pr2019319002,2019-11-15T22:33:36.040Z,"55km S of Boca de Yuma, Dominican Republic",earthquake,5.43,3.79,0.11,4,reviewed,pr,pr
2019-11-15T04:42:11.819Z,1.4716,126.3009,35,4.9,mb,,99,1.272,1.18,us,us60006bvb,2019-11-15T05:00:52.040Z,"124km E of Bitung, Indonesia",earthquake,7.8,2,0.125,20,reviewed,us,us
2019-11-15T05:27:53.420Z,1.5712,126.3348,35,4.9,mb,,93,1.301,0.75,us,us60006bvn,2019-11-15T05:43:43.040Z,"128km E of Bitung, Indonesia",earthquake,6.5,2,0.093,36,reviewed,us,us
2019-11-15T05:34:49.267Z,1.5642,126.352,35,5,mb,,84,1.284,1.14,us,us60006bvp,2019-11-15T05:52:47.040Z,"130km E of Bitung, Indonesia",earthquake,6.4,1.9,0.095,35,reviewed,us,us
2019-11-15T05:47:18.836Z,1.669,126.4201,35,4.9,mb,,69,1.3,0.97,us,us60006bvq,2019-11-15T06:03:41.040Z,"139km E of Bitung, Indonesia",earthquake,6.4,2,0.095,35,reviewed,us,us
2019-11-15T05:52:10.640Z,19.2993,-67.2995,15,3.27,md,9,298,0.8529,0.39,pr,pr2019319004,2019-11-15T08:29:03.040Z,"87km N of San Antonio, Puerto Rico",earthquake,8.13,16.82,0.15,6,reviewed,pr,pr
2019-11-15T05:53:17.523Z,-6.9184,130.4248,102.01,4.5,mb,,77,1.367,1.03,us,us60006bvt,2019-11-15T06:10:37.040Z,"150km NW of Saumlaki, Indonesia",earthquake,7.8,7,0.119,21,reviewed,us,us
2019-11-15T06:08:35.318Z,1.5671,126.4198,35,4.5,mb,,98,1.233,0.8,us,us60006bvw,2019-11-15T06:29:31.040Z,"136km NW of Kota Ternate, Indonesia",earthquake,4.7,2,0.109,25,reviewed,us,us
2019-11-15T06:33:15.430Z,19.0868,-66.4448,25,2.62,md,3,320,0.8021,0.28,pr,pr2019319005,2019-11-15T08:18:36.649Z,"69km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,2.27,21.2,0.26,3,reviewed,pr,pr
2019-11-15T06:39:36.850Z,19.4935,-68.3708,39,2.59,md,4,341,1.8405,0.22,pr,pr2019319006,2019-11-15T08:18:58.650Z,"90km NE of Miches, Dominican Republic",earthquake,3.56,19.4,0.23,4,reviewed,pr,pr
